date,description,category,amount,type
2020-01-02,Coffee Shop,Food & Drink,28.88,Expense
2020-01-02,Phone Bill,Utilities,47.53,Expense
2020-01-04,Rent Paid,Rent,918.36,Expense
2020-01-05,Pet Supplies,Investment,108.5,Income
2020-01-13,McDonald's,Food & Drink,11.16,Expense
2020-01-14,Target,Shopping,205.84,Expense
2020-01-18,Thai Restaurant,Food & Drink,37.32,Expense
2020-01-19,Other,Other,25.58,Expense
2020-01-21,Streaming Subscription,Entertainment,40.42,Expense
2020-01-25,Rent Paid,Rent,918.36,Expense
2020-01-25,Office Supplies,Health & Fitness,99.27,Expense
2020-01-26,Salary Received,Salary,1082.96,Income
2020-01-29,Target,Shopping,224.12,Expense
2020-01-30,Pet Supplies,Health & Fitness,63.99,Expense
2020-01-31,Thai Restaurant,Food & Drink,13.57,Expense
2020-01-31,Rent Paid,Rent,918.36,Expense
2020-01-31,Online Retail Order,Shopping,208.7,Expense
2020-02-02,Office Supplies,Health & Fitness,29.58,Expense
2020-02-04,Train Ticket,Travel,450.05,Expense
2020-02-05,Rent Paid,Rent,918.36,Expense
2020-02-05,Pet Supplies,Investment,465.16,Income
2020-02-07,Hotel Stay,Travel,154.51,Expense
2020-02-07,Streaming Subscription,Entertainment,97.9,Expense
2020-02-08,Pizza Place,Food & Drink,23.14,Expense
2020-02-08,Other,Other,327.16,Income
2020-02-09,Concert Ticket,Entertainment,35.47,Expense
2020-02-11,Office Supplies,Health & Fitness,24.08,Expense
2020-02-13,Salary Received,Salary,1082.96,Income
2020-02-15,Other,Other,58.74,Expense
2020-02-16,Online Retail Order,Shopping,131.98,Expense
2020-02-16,Electric Bill,Utilities,121.58,Expense
2020-02-18,Pet Supplies,Investment,27.15,Income
2020-02-19,Pet Supplies,Investment,369.56,Income
2020-02-20,Target,Shopping,230.87,Expense
2020-02-26,Car Rental,Travel,382.81,Expense
2020-02-27,Pizza Place,Food & Drink,37.1,Expense
2020-02-28,Other,Other,47.61,Expense
2020-02-28,Other,Other,190.36,Income
2020-02-29,Uber Ride,Travel,521.52,Expense
2020-03-03,Rent Paid,Rent,918.36,Expense
